,Strategy,Dataset,n_instances,l_attributes,k_neighbours,fit_time,accuracy,f1_macro,f1_micro
9,Randomised search,D1,625,6,9,0.00300749142964681,0.3648,0.18632106321916056,0.3648
10,Randomised search,D1,625,6,19,0.0026700496673583984,0.3536,0.1721434493337168,0.3536
11,Randomised search,D1,625,6,2,0.0030077298482259116,0.336,0.18041314889896334,0.336
12,Randomised search,D1,625,6,14,0.002672592798868815,0.3696,0.1886853269608129,0.3696
13,Randomised search,D1,625,6,22,0.002675294876098633,0.3632,0.17905900488927237,0.3632
14,Randomised search,D1,625,6,24,0.004011869430541992,0.3632,0.17905900488927237,0.3632
15,Randomised search,D1,625,6,15,0.003344297409057617,0.3632,0.17896188937320948,0.3632
16,Randomised search,D1,625,6,4,0.0026733875274658203,0.3392,0.17278028664008296,0.3392
17,Randomised search,D1,625,6,16,0.0023404757181803384,0.3664,0.18238520715204676,0.3664
18,Randomised search,D1,625,6,9,0.0023401578267415366,0.3648,0.18632106321916056,0.3648
19,Randomised search,D1,625,6,7,0.003008127212524414,0.3552,0.1806317812276851,0.3552
20,Randomised search,D1,625,6,3,0.002674102783203125,0.3344,0.1666024896359268,0.3344
21,Randomised search,D1,625,6,23,0.002673943837483724,0.3632,0.1790296046159117,0.3632
22,Randomised search,D1,625,6,21,0.002671321233113607,0.3616,0.1778915848864384,0.3616
23,Randomised search,D1,625,6,5,0.004011472066243489,0.3376,0.16950554100820037,0.3376
24,Randomised search,D1,625,6,11,0.004344542821248372,0.3616,0.1829135865951429,0.3616
0,Randomised search,D2,143,39,3,0.0013367335001627605,0.6293706293706294,0.4128078464497222,0.6293706293706294
1,Randomised search,D2,143,39,9,0.0016713937123616536,0.7132867132867133,0.4591482854646373,0.7132867132867133
2,Randomised search,D2,143,39,5,0.001336812973022461,0.6363636363636364,0.4182194063231234,0.6363636363636364
3,Randomised search,D2,143,39,8,0.001337289810180664,0.7132867132867133,0.4591482854646373,0.7132867132867133
4,Randomised search,D2,143,39,9,0.0010008811950683594,0.7132867132867133,0.4591482854646373,0.7132867132867133
5,Randomised search,D2,143,39,4,0.0013370513916015625,0.6363636363636364,0.4182194063231234,0.6363636363636364
6,Randomised search,D2,143,39,2,0.0010026295979817708,0.6363636363636364,0.4182194063231234,0.6363636363636364
7,Randomised search,D2,143,39,10,0.0010027885437011719,0.7342657342657343,0.47432824322832723,0.7342657342657342
8,Randomised search,D2,143,39,7,0.0016709168752034504,0.6363636363636364,0.4218051314486825,0.6363636363636364
9,Randomised search,D2,143,39,1,0.00167083740234375,0.6013986013986014,0.3835666702031013,0.6013986013986014
10,Randomised search,D2,143,39,6,0.0016706784566243489,0.6363636363636364,0.4182194063231234,0.6363636363636364
11,Randomised search,D2,143,39,4,0.001003265380859375,0.6363636363636364,0.4182194063231234,0.6363636363636364
12,Randomised search,D2,143,39,5,0.0010022322336832683,0.6363636363636364,0.4182194063231234,0.6363636363636364
13,Randomised search,D2,143,39,4,0.0010034243265787761,0.6363636363636364,0.4182194063231234,0.6363636363636364
14,Randomised search,D2,143,39,3,0.001336971918741862,0.6293706293706294,0.4128078464497222,0.6293706293706294
15,Randomised search,D2,143,39,5,0.001337289810180664,0.6363636363636364,0.4182194063231234,0.6363636363636364
16,Randomised search,D2,143,39,8,0.001001914342244466,0.7132867132867133,0.4591482854646373,0.7132867132867133
17,Randomised search,D2,143,39,4,0.0016712347666422527,0.6363636363636364,0.4182194063231234,0.6363636363636364
18,Randomised search,D2,143,39,10,0.0013368924458821614,0.7342657342657343,0.47432824322832723,0.7342657342657342
19,Randomised search,D2,143,39,11,0.0016717116038004558,0.7342657342657343,0.47432824322832723,0.7342657342657342
20,Randomised search,D2,143,39,11,0.0013368924458821614,0.7342657342657343,0.47432824322832723,0.7342657342657342
21,Randomised search,D2,143,39,3,0.001336971918741862,0.6293706293706294,0.4128078464497222,0.6293706293706294
22,Randomised search,D2,143,39,2,0.0023423035939534507,0.6363636363636364,0.4182194063231234,0.6363636363636364
23,Randomised search,D2,143,39,2,0.0013361771901448567,0.6363636363636364,0.4182194063231234,0.6363636363636364
24,Randomised search,D2,143,39,9,0.0016744136810302734,0.7132867132867133,0.4591482854646373,0.7132867132867133
0,Randomised search,D3,1728,23,27,0.006683746973673503,0.38310185185185186,0.1541609398356803,0.38310185185185186
1,Randomised search,D3,1728,23,32,0.007018327713012695,0.3819444444444444,0.15253240016138492,0.3819444444444444
2,Randomised search,D3,1728,23,15,0.007352749506632487,0.37210648148148145,0.1442361512006924,0.37210648148148145
3,Randomised search,D3,1728,23,11,0.006350040435791016,0.36863425925925924,0.14322200275273136,0.36863425925925924
4,Randomised search,D3,1728,23,5,0.008020957310994467,0.36747685185185186,0.14302704781420486,0.36747685185185186
5,Randomised search,D3,1728,23,18,0.0060155391693115234,0.375,0.14787204146131225,0.375
6,Randomised search,D3,1728,23,25,0.006682475407918294,0.37905092592592593,0.15127232879721467,0.37905092592592593
7,Randomised search,D3,1728,23,32,0.006683905919392903,0.3819444444444444,0.15253240016138492,0.3819444444444444
8,Randomised search,D3,1728,23,11,0.006015936533610026,0.36863425925925924,0.14322200275273136,0.36863425925925924
9,Randomised search,D3,1728,23,13,0.006684621175130208,0.36863425925925924,0.142935083179252,0.36863425925925924
10,Randomised search,D3,1728,23,24,0.006687005360921224,0.3784722222222222,0.1508193904531111,0.3784722222222222
11,Randomised search,D3,1728,23,15,0.007685422897338867,0.37210648148148145,0.1442361512006924,0.37210648148148145
12,Randomised search,D3,1728,23,41,0.00802151362101237,0.3894675925925926,0.15444353949169237,0.3894675925925926
13,Randomised search,D3,1728,23,5,0.006349643071492513,0.36747685185185186,0.14302704781420486,0.36747685185185186
14,Randomised search,D3,1728,23,14,0.006684223810831706,0.36863425925925924,0.14263008773062338,0.36863425925925924
15,Randomised search,D3,1728,23,6,0.0070188045501708984,0.36689814814814814,0.14248407990909517,0.36689814814814814
16,Randomised search,D3,1728,23,37,0.006350040435791016,0.38657407407407407,0.15306142334289974,0.38657407407407407
17,Randomised search,D3,1728,23,23,0.006684700647989909,0.3773148148148148,0.1497214306631784,0.3773148148148148
18,Randomised search,D3,1728,23,33,0.007018248240152995,0.3871527777777778,0.154702720985525,0.3871527777777778
19,Randomised search,D3,1728,23,30,0.006350119908650716,0.38252314814814814,0.1531652229147617,0.38252314814814814
20,Randomised search,D3,1728,23,27,0.007018645604451497,0.38310185185185186,0.1541609398356803,0.38310185185185186
21,Randomised search,D3,1728,23,39,0.006350596745808919,0.38773148148148145,0.15349384558622353,0.38773148148148145
22,Randomised search,D3,1728,23,10,0.005681673685709636,0.36747685185185186,0.1418673577778423,0.36747685185185186
23,Randomised search,D3,1728,23,7,0.007351318995157878,0.36747685185185186,0.14333140860852142,0.36747685185185186
24,Randomised search,D3,1728,23,1,0.006683031717936198,0.3645833333333333,0.14453008462405761,0.3645833333333333
0,Randomised search,D4,90,8,1,0.0020051797231038413,0.5333333333333333,0.3848177446464487,0.5333333333333333
