,Dataset,Strategy,avg_fit_time,avg_score_time,cv_runtime,k,l,n
0,0,KDTree,1.47091277440389,0.3507579167683919,8.020685911178589,180,110,32561
0,0,BallTree,1.4100921948750813,0.3181328773498535,7.728161811828613,180,110,32561
0,1,KDTree,0.002005338668823242,0.10470136006673177,0.6375858783721924,25,6,625
0,1,BallTree,0.0016713142395019531,0.10500868161519368,0.6367495059967041,25,6,625
0,1,Brute Force,0.0016704400380452473,0.0026728312174479165,0.03509354591369629,25,6,625
0,2,KDTree,0.0006593068440755209,0.10497212409973145,0.6355922222137451,11,39,143
0,2,BallTree,0.00033394495646158856,0.10412851969401042,0.6277930736541748,11,39,143
0,2,Brute Force,0.00033410390218098957,0.0006685256958007812,0.008020877838134766,11,39,143
0,3,KDTree,0.00368499755859375,0.1054537296295166,0.653496503829956,41,23,1728
0,3,BallTree,0.003684838612874349,0.1054545243581136,0.6533825397491455,41,23,1728
0,3,Brute Force,0.0010044574737548828,0.016725540161132812,0.15237879753112793,41,23,1728
0,4,KDTree,0.00033410390218098957,0.10415951410929362,0.6310288906097412,9,8,90
0,4,BallTree,0.0010025501251220703,0.10405460993448894,0.6320126056671143,9,8,90
0,4,Brute Force,0.001338958740234375,0.0,0.009050369262695312,9,8,90
0,5,KDTree,0.001333316167195638,0.10494565963745117,0.636789083480835,18,9,336
0,5,BallTree,0.0010088284810384114,0.10512677828470866,0.634894609451294,18,9,336
0,5,Brute Force,0.0010110537211100261,0.0016619364420572917,0.01904582977294922,18,9,336
0,6,KDTree,0.0013426939646402996,0.10395423571268718,0.6314539909362793,12,6,150
0,6,BallTree,0.0010034243265787761,0.10428786277770996,0.6334166526794434,12,6,150
0,6,Brute Force,0.0013290246327718098,0.0013318856557210286,0.013016700744628906,12,6,150
0,7,KDTree,0.18952496846516928,0.13553770383199057,1.5232195854187012,113,29,12960
0,7,BallTree,0.18517525990804037,0.1353912353515625,1.6109020709991455,113,29,12960
0,8,KDTree,0.010369300842285156,0.10590155919392903,0.6860582828521729,50,74,2533
0,8,BallTree,0.009694973627726236,0.1062916914621989,0.6809239387512207,50,74,2533
0,8,Brute Force,0.002000570297241211,0.049465020497639976,0.4602234363555908,50,74,2533
0,9,KDTree,0.0023552576700846353,0.1051315466562907,0.6423683166503906,30,29,958
0,9,BallTree,0.001693407694498698,0.1046737829844157,0.6373732089996338,30,29,958
0,9,Brute Force,0.0006724198659261068,0.006680011749267578,0.06314516067504883,30,29,958
0,10,KDTree,0.0010114510854085286,0.10400803883870442,0.6350622177124023,13,15,178
0,10,BallTree,0.0006687641143798828,0.10491649309794109,0.6328115463256836,13,15,178
0,10,Brute Force,0.0,0.001331647237141927,0.010025978088378906,13,15,178
